 Reflection Date;Reflection;Question 1;Rating 1;Question 2;Rating 2;Question 3;Rating 3;Today Question;Rating_today;Tomorrow Question;Rating_tomorrow ;Attendies 
May. 06 2013;From iPhone. Need to clean the reflection up. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 06 2013;iOS six works as well. I'm getting ready for San Diego. 
Looking forward to spend some time alone with Simone. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 07 2013;Heading to catch rental. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 07 2013;In San Diego with Simone. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
May. 09 2013;Getting ready to hang at the beach. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 09 2013;N/A;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
May. 10 2013;Getting ready to head back to SF. Was a very good time in SD. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 10 2013;Getting ready to head back to SF. Was an awesome few days in San Diego with Simone. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 10 2013;At the airport. Reading the paper. Simone is not feeling well... But we got preferential treatment thru security :-) ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 13 2013;I need to finish the content stuff! ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
May. 13 2013;Behind on content. Need to get it done.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
May. 15 2013;Looking forward to meet with Miranda Nash today regarding joining advisory board. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
May. 15 2013;Drizzling. Walking into town the 31 was a mess today. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
May. 16 2013;Just adding a note.  I am still behind on the content ... but feeling things are making progress. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jul. 03 2013;Busy day ... prioritized getting feedback to Ashish and the team.  Simone and I deliberated about the induction.  In the end opted to give it another 2 days.  Date now set for Friday.  July 5.  I need to get the material out to the people I want to talk t;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
May. 16 2013;Great conversations with Stephen and Marnie. I'm looking forward to the future. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 16 2013;Napping. Best use of time.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 18 2013;KFC after pete's birthday. Awesome! ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
May. 18 2013;Bay to Breakers today. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 18 2013;Great conversations with Stephen and Marnie. I'm looking forward to the future. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;N/A;How do you feel about tomorrow?;N/A;N/A
May. 19 2013;Great day. Submitted ctrack application. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 21 2013;Bummer about Cisco. Report almost done. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
May. 22 2013;The SD conversation is miserable. Vikram is weak and at best lazy. At worst dishonest. 
I just hope to get done with the project. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
May. 24 2013;Report done. Simone did great job. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jul. 03 2013;4th of July tomorrow! Got some stuff done today. Glad we moved the induction.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
May. 25 2013;At church. Simone is sick. Stomach hurting. Don't know how to help. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
May. 28 2013;Good run. Progress on the Blog setup and mailing list. Looking forward to send out the report tomorrow. Last dash to generate some interest.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
May. 28 2013;N/A;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;N/A;N/A
May. 29 2013;Meeting with William T and William Johnson. Having a beer. Getting in the sun.getting work for Vimbli. Following up with college track tomorrow. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jun. 03 2013;Jn Palo Alto. Meeting with Emily and Kevon. Hope to get time with Bill as well.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jun. 03 2013;Still at Coupa. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Jun. 04 2013;Yesterday was a great day. I managed to get a ton done. Today I'm going to get even more done! ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Jun. 06 2013;Good meeting with James.
And with Tom. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Jun. 06 2013;At Mo'z. Getting ready to get this day done. 
Building Vimbli is a slog and there is not much to show. At least not in terms of revenue. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Jun. 06 2013;Day only starting. Need to get a lot done. But it will be good. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Jun. 06 2013;Still having a good day. But it is going to be a long day. I have a bunch of things to complete. At the moment I feel a bit overwhelmed. It is totally worth it.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Jun. 07 2013;Tomorrow I'm wrapping up the posts. Simone helped a lot today. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
Jun. 09 2013;Great Sunday! Relaxing with Simone. Her PC works again. Great Skype with my parents yesterday. Church was good today. Wonder why Terry finds it necessary to shout.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Jun. 09 2013;Great Sunday! Relaxing with Simone. Her PC works again. Great Skype with my parents yesterday. Church was good today. Wonder why Terry finds it necessary to shout.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Jun. 09 2013;N/A;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jun. 10 2013;I drank too much last night. Enjoyed seeing old friends, but alcohol mid-week is out from now on.  No moderation. Out.  Today will be a productive day.  Finishing the patent, and getting some invitations out. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;1;How do you feel about tomorrow?;3;N/A
Jun. 11 2013;Got the video to work. Now I need to get some Vimbli work done.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jun. 12 2013;Feeling tired. Taking rest of the day off. Need to find the spark.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;1;How do you feel about tomorrow?;3;N/A
Jun. 12 2013;Heading into town. Working on the patent and then meeting with Denise regarding pg&e. I hope I'll get another early evening tonight. 
Sitting next to an obnoxious and fat lady on the bus. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jun. 13 2013;Great meeting with Denise. applied. feel good about it. Still focusing on Vimbli. The story is clear.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jun. 21 2013;Good meeting with Ryan. Session with Chris was also good. Heading home now. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;N/A;How do you feel about tomorrow?;N/A;N/A
Jun. 23 2013;Listened to bokke vs Samoa. Good game. Did the dad transition survey. Dinner with Simone and Sonja. Pretty relaxing. Going for a run tomorrow.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Jun. 15 2013;Tough day. Got a lot done but I hurt Simone with my supposedly witty comment about doing things. I need to be more sensitive. Tomorrow will be good. Heading to the Milner's for their shower and wedding celebration. Oh, and tomorrow is father's day. I'm al;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;1;How do you feel about tomorrow?;2;N/A
Jun. 15 2013;Last non-Father Father's Day for me. DV.  Had awesome breakfast with Simone.  Received a great memory ... an engraved keychain!  Looking forward to carry it with me for life.  Heading to James / Minnie for their celebration.  Will be awesome.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jun. 17 2013;Lekker groep by austin. Baie goed klaar gemaak vir die baba. Roku is die standaard vir elektroniese toerusting. 
Bloedskenk môre. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Jun. 17 2013;At the books center. Last donation before Colton's arrival. Great Vimbli day. McKinsey. The Confident Man. Hall Capital. All interested. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jun. 21 2013;At the time back seminar. Great day. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Jun. 20 2013;Just getting started ... but I am having a good day already.  Things are going well.  I am looking forward to the SD call and the rest of the day. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;Support Vimbli
Jun. 21 2013;Still going strong. Relaxing shower. Heading out to get done work done before meetings.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;Support Vimbli
Jun. 23 2013;Church done. Heading to pick up Sonja. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jun. 24 2013;Wrote the dad survey report. Feel good about it. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Jun. 24 2013;Cleaning ... Another good experience!;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;Support Vimbli
Jun. 24 2013;Things are looking good ... Colton is still not here.  I am getting a bunch of stuff done. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;Support Vimbli
Jun. 25 2013;Done with another day. Heading to men's group in an hour. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;Support Vimbli
Jun. 24 2013;Another good call.  We are making good progress.  Waiting for Colton to arrive.  He is taking his time.  Who knows when he'll arrive. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Jun. 25 2013;Awesomeness! ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Jun. 26 2013;Great day. I could have asked more help. We learned today that the induction will be July 3rd... I just pray for a healthy son and mom. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;Support Vimbli
Jun. 26 2013;It was a good morning. I need to get the patent info to Simona latest tomorrow ... which means today.  As I hope to go out with Ben to see if we can get salmon tomorrow. 
Today could be a long day ... but it will be a good day. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Jun. 27 2013;I'm tired to the bone. Not sure why. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Jun. 29 2013;Slow day today. Just enjoying time on my own. Worked a bit but mostly chilled. Going for a run in a bit. Colton showed up winking and sucking his thumb on the sonar yesterday. Hopefully he will grace us with his presence in person soon.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;Colton Strydom,Colton Strydom,Colton Strydom
Jun. 30 2013;Visited the botanical garden. Many South African flowers. Having pizza and watching cloud atlas with Simone and Sonya. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;Support Vimbli,Support Vimbli,Support Vimbli
Jun. 30 2013;Today is the day ... sending the patent to Simona for review. Contacting Bob, and the rest of the folks at McK. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jul. 02 2013;Ran. Got the patent off my plate. Finished the negotiations with sprint. Got another $50 off and sold the s2. Simone went for acupuncture. I hope that will help to get Colton home. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Jul. 04 2013;A run to the Presidio and a Vimbli email blast to start the 4th.  Rest of the day ... relaxing. Maybe BBQ. Fireworks pending fog.  And who knows maybe hospital?  Tomorrow we are  heading to the hospital if we are not there already.  Colton I strongly sugg;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;Colton Strydom,Simone Seeley
Jul. 04 2013;Simone is having contractions. KP told her they are going to transfer us to another hospital. Does not feel good. We live practically next to the Geary facility. Will pray about it. God will provide.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;Support Vimbli
Jul. 24 2013;Early start!  Tom ... this is a quick share with you.  Can you let me know the number I can reach you at?  I may need a minute or 5 flexibility on start time for our call ...;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;Colton Strydom,Tom Rikert,Support Vimbli
Jul. 05 2013;At SF General. Not as planned but we in a good place. In the end it is just another hospital. They definitely have enough staff here. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;Colton Strydom,Support Vimbli
Jul. 05 2013;At the hospital.  Simone in labor.  Probably another 2-4 hours.  Time to think about how life is going to change ... (not for the first time!)  Looking forward to have Colton at home. Praying for a safe delivery for mom and son, and for a healthy boy ... ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;Colton Strydom,Support Vimbli
Jul. 05 2013;Increasing the pitocin ... Colton's heart rate is increasing now.  I really hope we'll not have to do a C.  ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
Jul. 07 2013;Day 1!  Colton is one day old.  Healthy and a good sport overall. Simone is also doing well. The folks at SF General have been doing everything to help us to get back to KP Geary.  We should be moving later today. Dad is super happy ... and not a little p;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Jul. 09 2013;First day home. Colton's third day in our team. Fitting in a quick Vimbli meeting. I am so so humbled by Colton. The miracle of life trumps anything I can ever dream up or do. My wife makes me proud and super happy. Every time she shares her joys and doub;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;Colton Strydom,Simone Seeley
Jul. 11 2013;Met with Erik today. Valuable meeting prior to switching on the payment module. Heading back home excited to see Colton and Simone. Life is good. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Jul. 12 2013;Awesome nap with Colton. Great dinner with Simone only. Sonja took care of Colton. He took his first bottle. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;Colton Strydom
Jul. 17 2013;Today is mostly a 5 star ...or 3 star in Vimbli speak day. 
Had a great time working on basic Vimbli stuff. Updated my LinkedIn profile.  Also worked at thinking about other options beyond Vimbli, and potentially changing Vimbli to Vimbli.org.  Big chang;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;Colton Strydom,Support Vimbli
Jul. 17 2013;This is a test to see if the all the text in the msg is being shared in the email.  I don't think it is based on one experience.  If there is a limit we need to call it out to prevent misaligned expectations.  I hope this works.  Best. Let me add another ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Jul. 17 2013;This is a test to see if the all the text in the msg is being shared in the email.  I don't think it is based on one experience.  If there is a limit we need to call it out to prevent misaligned expectations.  I hope this works.  Best. Let me add another ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Jul. 17 2013;Colton is having a good evening.  We are pre-empting his hunger cries. Seems to cut down on the crying.  Tomorrow I'm applying to get McKinsey position. Who knows ... Maybe it works out. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
Jul. 18 2013;Had an ok night with Colton.  He was a bit fussy.  Now I am getting up to speed on what happened in the Vimbli world overnight ... and with my calendar for the day.  I am planning on doing some exercise today. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Jul. 19 2013;I love life!  Colton is fun to have around ... sometimes a lot of work, sometimes frustrating when I don't understand the cries ... but a lot of work.  Vimbli stuff are progressing well on all fronts.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Jul. 20 2013;Great skype with parents. Colton fell asleep in my arms. Read some. Spoke with Christo. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;Colton Strydom,Admin Vimbli
Jul. 21 2013;Got up 5 times with Colton. I am proud to say that each time was for a diaper. He is not wasting our time crying wolf wolf. Simone and I may take him to the Mexican restaurant, Green Chillies sp? today. Will see how that goes. My first note asking for job opportunities is going out today. All in all I'm in a good place. I do want to pursue the transition support /value creation... But I want to spend time with Colton and Simone now. Vimbli will give that freedom to me in future but I need to solve  for near term cash flow. The development of Vimbli took much longer than expected and the actual timing does impact my decision space. I am looking at Colton now. He is sleeping peacefully. I do want to continue to provide him with a safe environment. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;Colton Strydom,Support Vimbli
